Dark Roast|coffee|small|1.60|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Dark Roast|coffee|reg|2.10|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Dark Roast|coffee|large|2.40|coffee-dark-roast.png|Savour the robust flavour of our rich new Dark Roast blend, brewed for the coffee lover in everyone.
Decaf|coffee|small|1.60|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Decaf|coffee|reg|2.10|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Decaf|coffee|large|2.40|coffee-decaf.png|All the great taste of your Tim Hortons Coffee, without the caffeine.
Original Blend|coffee|small|1.60|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Original Blend|coffee|reg|2.10|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Original Blend|coffee|large|2.40|coffee-original-blend.png|Our signature Original Blend with the familiar and satisfying taste that Canadians enjoy every day.
Cafe Mocha|coffeesp|small|3.75|coffeesp-cafe-mocha.png|This delectable Cafe Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cafe Mocha|coffeesp|reg|4.75|coffeesp-cafe-mocha.png|This delectable Café Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cafe Mocha|coffeesp|large|4.95|coffeesp-cafe-mocha.png|This delectable Café Mocha blends premium blend coffee with hot chocolate, finished with whipped topping.
Cappuccino|coffeesp|small|3.40|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Cappuccino|coffeesp|reg|4.40|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Cappuccino|coffeesp|large|4.90|coffeesp-cappuccino.png|Just like a latte, but with more of our premium Espresso added for a fuller coffee flavour.
Chocolate Latte|coffeesp|small|3.50|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
Chocolate Latte|coffeesp|reg|4.50|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
Chocolate Latte|coffeesp|large|4.90|coffeesp-chocolate-latte.png|A blend of premium Espresso, frothed milk and cocoa mix finished with whipped topping and chocolaty drizzle.
French Vanilla|coffeesp|small|1.95|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
French Vanilla|coffeesp|reg|2.40|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
French Vanilla|coffeesp|large|2.65|coffeesp-french-vanilla.png|Enjoy our signature silky smooth French Vanilla or rich English Toffee.
Hot Chocolate|coffeesp|small|1.95|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Hot Chocolate|coffeesp|reg|2.40|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Hot Chocolate|coffeesp|large|2.65|coffeesp-hot-chocolate.png|Warm, chocolaty deliciousness that’s sure to warm you up. Hot chocolate like it was meant to be.
Latte|coffeesp|small|3.40|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Latte|coffeesp|reg|4.40|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Latte|coffeesp|large|4.95|coffeesp-latte.png|The perfect blend of premium Espresso and warm frothy milk.
Vanilla Bean Latte|coffeesp|small|3.50|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Vanilla Bean Latte|coffeesp|reg|4.50|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Vanilla Bean Latte|coffeesp|large|4.95|coffeesp-vanilla-bean-latte.png|Looking for more than a traditional Latte? Try our Vanilla Bean Latte or any of our other flavours.
Frozen Lemondade|cold|reg|2.65|cold-frozen-lemonade.png|Perfectly refreshing, this frozen drink blended with real lemon is sweetened and served icy cold.
